Gender,R1,R2,Rhythm,CTest1,CTest2,Penalty1,Penalty2,CoorScore,VJump1,VJump2,VJumpScore,30m,30mScore,Result
1,5,5,10,34.46,28.15,2,0,45,41.38,40.39,10,4.09,15,P
0,5,5,10,31.82,31.34,0,0,45,23.84,21.62,10,5.12,15,P
0,5,5,10,34.35,30.71,3,0,45,27.77,29.43,10,4.89,15,P
0,5,5,10,34.12,32.32,0,0,45,43.4,33.79,10,4.62,15,P
0,4,6,10,34.63,30.87,0,0,45,31.14,37.49,10,4.51,15,P
1,3,4,7,30.92,28.22,0,0,45,36.54,36.54,8.27,4.4,15,P
0,7,8,15,26.02,27.14,0,0,45,44.42,33.79,7.91,4.22,13.62,P
1,8,7,15,25.54,24.39,1,0,45,42.38,46.51,6.46,4.01,11.93,P
1,8,6,14,26.76,23.69,2,0,45,47.58,43.4,6.37,4,11.71,P
1,7,7,14,27.43,27.38,0,0,45,31.14,33.79,6.05,4.22,15,P
0,8,5,13,28.8,27.59,0,0,45,29.43,28.6,2.57,4.49,12.37,P
1,7,7,14,27.01,26.7,0,0,45,37.49,37.49,2.24,4.14,11.25,F
1,3,5,8,30.13,27,0,0,45,35.61,34.69,1.81,4.04,10.41,F
1,8,7,15,24.43,24.6,0,0,44.87,41.38,35.61,4.83,3.87,13.66,P
0,7,8,15,27.12,26.27,0,0,44.18,37.49,26.96,5.64,4.29,12.77,P
1,3,4,7,28.03,27.12,0,0,44.07,39.41,39.41,3.71,3.95,11.66,F
0,8,7,15,28,27.91,0,0,44.01,38.44,35.61,5.55,4.73,9.32,P
1,4,2,6,31.05,27.14,0,0,43.91,51.95,49.74,10,3.69,15,P
1,4,6,10,26.96,27.41,0,1,43.8,29.43,39.41,3.02,4.32,7.77,F
0,8,6,14,27.98,31.8,0,2,43.76,32.89,32.89,3.72,4.46,12.75,P
0,8,5,13,28.15,28.69,0,0,43.25,32.01,32.89,3.72,4.67,10.11,P
1,8,2,10,28.15,28.43,0,0,43.23,41.38,40.39,6.51,4.33,14.38,P
1,2,2,4,27.23,27.67,0,0,43.21,45.46,42.38,6.75,4.04,10.41,P
0,7,8,15,26.67,26.72,0,0,42.91,35.61,38.44,5.95,4.23,13.42,P
1,3,3,6,-2,29.63,0,1,42.24,34.69,40.39,10,4.72,11.33,P
1,8,5,13,29.97,28.77,1,0,42.17,45.46,39.41,0,4.26,14.26,F
1,7,7,14,30.5,28.77,0,0,42.16,36.54,33.79,4.62,4.52,9.07,P
0,6,3,9,32.67,28.5,0,0,42.12,33.79,32.89,4.01,4.28,15,P
1,8,7,15,26.83,25.38,2,1,41.18,49.74,47.58,7.48,3.93,12.88,P
1,6,5,11,27.62,29.56,0,0,40.71,42.38,41.38,4.23,4.74,0,F
1,7,6,13,27,25.57,1,0,40.45,38.44,38.44,3.89,4.12,10.56,P
1,4,4,8,27.73,29.57,0,2,40.18,37.49,39.41,3.02,4.14,11.21,P
1,7,8,15,27.81,27.76,0,0,40.04,35.61,39.41,3.02,4.33,7.45,P
1,5,5,10,25.71,25.89,0,0,39.9,33.79,35.61,3,3.92,13.06,P
0,7,6,13,29.27,30.58,0,0,39.67,33.79,39.41,5.86,4.4,13.57,P
1,7,6,13,27.85,28.82,0,0,39.65,37.49,41.38,3.82,3.95,15,P
1,8,7,15,26.79,25.82,1,0,39.46,43.4,43.4,5.47,4.32,8.26,P
0,7,8,15,28.36,27.78,0,0,39.36,26.16,36.54,5.33,4.56,9.39,P
0,8,6,14,31.85,29.38,0,0,39.33,44.42,46.51,8.21,4.33,14.39,P
0,7,4,11,29.85,29.39,1,1,39.3,32.01,30.28,3.42,4.56,11.53,P
1,8,7,15,28.31,25.91,1,0,39.14,49.74,55.36,9.26,4.2,9.62,P
0,8,6,14,30.92,29.44,0,0,39.14,27.77,23.84,2.03,4.61,10.85,P
1,6,4,10,25.92,26.34,0,0,39.1,38.44,36.54,3.89,4.38,7.51,P
1,8,7,15,26.4,25.92,1,0,39.09,41.38,42.38,5.14,3.93,12.89,P
0,7,8,15,27.92,28.27,0,0,38.92,32.89,24.6,4.14,4.38,11.57,P
0,7,7,14,30.3,29.51,0,0,38.92,30.28,32.01,3.42,4.54,11.76,P
0,7,7,14,29.55,29.61,0,0,38.78,31.14,28.6,3.14,4.45,12.95,P
1,4,5,9,27.25,26.05,1,0,38.59,51.95,49.74,8.18,3.92,13.07,P
1,7,8,15,31.05,28.18,0,0,38.08,36.54,49.74,7.24,4.16,10.91,P
1,8,7,15,26.53,26.21,0,0,37.98,37.49,39.41,4.2,4.09,10.96,P
1,7,4,11,26.4,25.4,0,0,37.82,37.49,47.58,6.37,3.8,14.57,P
0,8,4,12,29.87,33.47,0,3,37.78,23.84,26.16,1.5,4.7,9.72,F
0,7,8,15,31.69,28.29,0,0,37.72,28.6,32.89,4.14,4.49,10.2,P
0,8,7,15,29.91,34.31,1,4,37.64,25.38,26.16,1.5,4.74,9.28,F
1,4,4,8,33.47,26.3,3,0,37.61,42.38,41.38,5.14,4.32,8.26,P
1,6,4,10,27.12,25.45,0,0,37.6,30.28,26.16,0.81,4.16,9.33,F
0,7,7,14,32.12,28.34,0,0,37.55,36.54,50.84,10,4.11,15,P
0,7,7,14,32.95,28.4,1,0,37.35,32.89,29.43,4.14,4.77,6.78,P
0,7,7,14,31.98,28.42,0,0,37.3,18.17,20.91,0.23,4.57,9.18,F
0,6,8,14,28.66,28.42,0,0,37.29,26.96,33.79,4.43,4.57,9.2,P
1,6,8,14,26.64,25.53,0,0,37.27,35.61,40.39,4.06,4.14,9.55,P
1,8,7,15,29.06,26.41,0,0,37.19,44.42,44.42,5.79,3.95,12.69,P
1,4,7,11,28.22,26.41,1,0,37.18,34.69,34.69,2.71,4.46,6.53,P
0,7,7,14,28.47,29.61,0,1,37.15,30.28,32.89,4.14,4.6,8.8,P
0,5,4,9,31.37,30.1,1,0,37.05,36.54,34.69,4.92,4.57,11.34,P
0,7,8,15,28.96,28.56,0,0,36.85,26.16,30.28,3.29,4.37,11.78,P
1,4,5,9,30.66,26.53,4,0,36.72,39.41,40.39,4.51,4,12.07,P
1,7,7,14,28.86,26.59,2,0,36.49,43.4,45.46,6.12,4.04,11.52,P
1,8,6,14,26.64,26.84,0,0,36.3,29.43,38.44,3.89,4.04,11.53,P
1,3,3,6,27.42,26.76,0,0,35.82,44.42,40.39,5.79,4.09,10.94,P
1,5,7,12,26.81,30.13,1,2,35.66,41.38,43.4,5.47,4.11,10.77,P
1,7,7,14,28.04,26.81,1,0,35.63,31.14,37.49,3.59,4.11,10.77,P
1,4,5,9,28.21,28.24,0,0,35.6,44.42,17.52,6.23,4.06,10.18,P
1,7,8,15,26.17,25.94,0,0,35.55,39.41,46.51,6.03,4.04,11,P
1,2,2,4,-2,33.07,0,2,35.5,40.39,30.28,10,4.46,14.31,P
0,8,7,15,30.74,30.6,0,0,35.46,31.14,29.43,3.14,4.69,9.92,P
1,5,5,10,27.65,25.99,1,0,35.38,44.42,45.46,5.69,3.93,12.66,P
0,8,7,15,34.23,30.64,3,0,35.33,23.84,30.28,2.85,4.3,14.77,P
0,3,4,7,31.15,29.11,1,0,35.09,39.41,36.54,6.27,4.69,7.79,P
1,8,6,14,27.54,26.96,0,0,35.06,38.44,45.46,6.12,3.93,12.93,P
0,7,7,14,30.77,31.4,1,0,34.92,44.42,39.41,7.52,4.35,14.2,P
1,5,7,12,27.01,28.74,0,2,34.87,37.49,41.38,4.83,3.96,12.49,P
1,5,4,9,26.11,26.64,0,0,34.85,42.38,36.54,4.7,3.85,13.87,P
0,7,8,15,29.41,29.19,0,0,34.83,27.77,26.16,2.47,4.51,10,P
1,8,7,15,29.96,27.04,3,0,34.76,32.01,29.43,1.85,4.4,7.3,F
0,5,5,10,37.23,29.22,1,0,34.73,31.14,33.79,4.43,4.47,10.44,P
1,7,8,15,26.16,26.65,0,0,34.64,40.39,43.4,5.02,4.04,11,P
1,8,4,12,32.97,32.48,0,0,34.61,29.43,32.01,6.97,4.79,3.95,P
0,6,6,12,34.44,29.29,1,0,34.52,29.43,39.41,6.27,4.43,11.01,P
1,3,7,10,27.74,26.19,0,0,34.51,32.89,36.54,2.82,4.19,8.81,P
1,7,8,15,26.2,26.42,0,0,34.46,40.39,37.49,4.06,4.12,9.81,P
1,6,4,10,30.63,28.97,0,0,34.39,33.79,43.4,4.65,4.01,13.8,P
0,7,7,14,30.94,32.05,0,0,34.39,31.14,28.6,3.14,4.61,10.92,P
1,5,5,10,29.16,27.14,0,0,34.38,39.41,47.58,6.79,4.16,10.19,P
1,5,5,10,27.36,26.26,0,0,34.24,27.77,35.61,2.52,4.15,9.35,P
1,7,7,14,28.1,27.19,0,0,34.19,43.4,43.4,5.47,4.32,8.26,P
1,5,5,10,28.31,27.2,0,0,34.13,38.44,41.38,4.83,4.24,9.21,P
0,7,8,15,31.27,29.42,2,0,34.11,21.62,30.28,3.29,5.01,3.8,P
0,7,7,14,31.03,31.03,0,0,34.08,39.41,36.54,5.86,4.67,10.14,P
1,7,8,15,28.27,26.3,0,0,34.04,46.51,45.46,6.03,4.43,5.25,P
0,7,4,11,31.85,31.08,0,0,33.93,28.6,32.89,3.72,4.62,10.76,F
1,4,7,11,28.14,27.28,1,0,33.82,57.69,57.69,10,4.03,11.74,P
1,4,6,10,28.7,27.28,1,0,33.81,37.49,38.44,3.89,4.44,6.75,F
0,7,8,15,30.18,29.54,0,0,33.7,32.01,32.01,3.85,4.46,10.59,F
1,6,5,11,31.66,27.31,1,0,33.69,44.42,44.42,5.79,4.62,4.59,F
1,4,6,10,26.4,26.99,0,0,33.66,39.41,33.79,3.74,3.93,12.71,F
0,7,7,14,29.56,29.86,0,0,33.65,33.79,32.01,4.43,4.38,11.57,F
0,5,8,13,29.58,32.92,0,1,33.6,28.6,28.6,2.74,4.72,7.39,F
0,7,8,15,32.64,29.58,1,0,33.59,46.51,41.38,8.59,4.14,14.59,P
1,5,4,9,27.65,27.36,0,0,33.5,34.69,39.41,4.2,4.21,9.58,F
1,4,3,7,34.15,34.87,0,0,33.39,29.43,33.79,7.03,4.57,13,F
1,7,8,15,27.05,26.46,0,0,33.38,39.41,55.36,8.87,3.83,14.11,P
0,7,7,14,37.42,29.67,0,0,33.29,26.96,21.62,2.21,4.85,5.79,F
0,5,4,9,31.32,32.68,0,1,33.18,32.01,29.43,3.42,4.7,9.72,F
1,5,4,9,27.46,27.78,0,1,33.14,27.77,31.14,1.58,4.37,7.66,F
1,8,6,14,27.46,28.07,0,0,33.13,36.54,33.79,3.29,4.12,10.56,F
1,7,7,14,27.47,27.98,0,0,33.07,40.39,44.42,5.79,4.28,8.65,P
0,3,6,9,34.28,31.36,0,0,33.06,30.28,27.77,2.85,4.99,6.07,F
1,8,7,15,27.5,27.72,1,1,32.99,42.38,34.69,5.14,3.96,12.49,F
1,5,4,9,27.98,26.58,0,0,32.89,39.41,39.41,3.74,4.01,11.44,F
1,5,5,10,29.31,27.53,2,1,32.87,43.4,43.4,5.47,3.84,13.99,F
1,7,8,15,27.74,26.59,0,0,32.84,18.84,40.39,4.06,3.87,13.57,F
1,7,8,15,26.61,27.12,0,0,32.77,32.89,32.01,1.65,4.03,11.22,F
0,7,7,14,31.47,32.42,0,1,32.71,29.43,26.96,2.57,4.78,8.71,F
1,5,7,12,29.11,27.57,2,0,32.69,46.51,42.38,6.46,4.04,11.53,P
1,6,4,10,31.87,26.64,1,0,32.64,43.4,40.39,5.02,4.06,10.76,F
1,3,7,10,30.85,27.6,1,0,32.57,39.41,39.41,4.2,4.34,8.02,F
1,7,5,12,28.98,27.61,3,2,32.53,40.39,39.41,4.51,3.9,13.26,F
1,7,8,15,28.53,26.69,0,0,32.43,29.43,33.79,1.93,4.15,9.46,F
1,6,4,10,30.62,27.67,1,0,32.33,38.44,41.38,4.83,4.55,5.52,F
1,7,3,10,43.98,27.67,0,0,32.32,38.44,35.61,3.89,3.9,13.26,F
1,5,2,7,27.84,27.68,0,0,32.28,39.41,38.44,4.2,4.52,5.77,F
0,8,7,15,31.61,32.24,0,0,32.24,34.69,32.89,4.31,5.02,5.67,F
0,7,5,12,32.05,30.01,0,0,32.22,37.49,39.41,6.27,4.62,8.62,P
1,6,4,10,28.82,26.77,0,0,32.1,32.01,31.14,1.36,4.22,8.38,F
1,8,7,15,30.04,27.75,1,0,32,36.54,40.39,4.51,4.06,11.34,F
0,7,6,13,32.82,31.69,1,0,31.99,28.6,30.28,2.85,4.81,8.3,F
1,6,8,14,29.31,26.8,1,0,31.96,35.61,38.44,3.43,4.11,10.03,F
0,4,7,11,32.02,31.71,1,1,31.93,40.39,44.42,7.52,4.35,14.18,P
0,6,8,14,30.1,30.18,0,0,31.91,27.77,26.96,2.47,4.5,10.11,F
1,8,3,11,33.59,27.78,0,0,31.9,34.69,38.44,3.89,3.96,12.52,F
1,3,7,10,27.92,27.83,0,0,31.71,41.38,36.58,4.83,4.68,3.86,F
1,7,2,9,27.79,26.86,0,0,31.71,30.28,24.6,0.81,4.12,9.81,F
0,7,7,14,32.7,30.17,0,1,31.68,32.89,32.01,4.14,4.66,8.15,F
1,3,5,8,27.26,26.87,0,0,31.68,34.69,40.39,4.06,4.06,10.76,F
1,4,4,8,30.16,29.55,0,1,31.66,37.49,33.79,2.24,3.96,14.71,F
1,7,4,11,30.68,26.88,0,0,31.63,35.61,32.01,2.52,4.25,7.9,F
1,4,4,8,28.56,27.85,0,0,31.62,39.41,38.44,4.2,4.37,7.58,F
1,4,3,7,31.46,26.9,0,0,31.56,31.14,42.38,4.7,4.43,5.24,F
0,7,8,15,31.33,30.22,1,0,31.54,44.42,36.54,7.9,4.32,12.39,F
1,6,6,12,26.93,28.12,0,0,31.42,42.38,36.54,4.7,3.9,13.14,F
1,5,4,9,27.49,26.93,0,0,31.42,36.54,32.01,2.82,4.49,4.32,F
1,2,3,5,27.91,28.9,0,0,31.4,33.79,34.69,2.71,4.32,8.26,F
0,4,5,9,31.94,30.29,1,0,31.32,26.16,24.6,1.95,4.67,8,F
1,8,7,15,30.42,27.95,0,0,31.25,42.38,41.38,5.14,4.25,9.04,P
1,4,4,8,28.72,27.95,2,1,31.24,33.79,32.01,2.42,4.3,8.47,F
1,6,4,10,27.96,28.19,0,0,31.21,34.69,34.69,2.71,4.51,5.96,F
1,5,4,9,28.35,26.99,1,0,31.15,44.42,26.96,5.35,4.17,9.09,F
1,4,5,9,27.97,30.53,0,2,31.15,41.38,40.39,4.83,4.28,8.65,F
0,8,3,11,35.84,31.96,1,0,31.15,18.17,23.09,0.48,5.23,3.02,F
0,6,6,12,31.1,30.35,0,0,31.13,32.01,30.28,3.85,4.83,5.95,F
0,7,6,13,34.17,30.38,1,0,31.03,30.28,33.79,4.43,4.62,8.6,F
1,6,6,12,27.61,27.03,1,0,31.01,31.14,26.16,1.08,4.12,9.79,F
0,7,7,14,31.36,30.39,0,0,30.98,28.6,33.79,4.43,4.27,12.99,F
1,4,3,7,31,28.07,0,0,30.77,37.49,32.01,3.59,4.25,9.03,F
1,2,5,7,30.05,27.09,1,0,30.75,42.38,30.28,4.7,4.28,7.43,F
1,2,4,6,27.43,27.09,0,0,30.75,27.77,34.69,2.23,4.24,8.11,F
1,7,8,15,27.96,27.09,0,0,30.74,40.39,30.28,4.06,4.35,6.47,F
1,2,5,7,27.1,28.19,0,2,30.69,44.42,43.4,5.35,3.9,13.11,P
1,4,4,8,31.94,27.1,1,0,30.68,36.54,39.41,3.74,4.09,10.3,F
1,8,7,15,28.39,28.1,0,0,30.65,40.39,34.69,4.51,4.27,8.84,F
0,8,7,15,34,32.13,2,1,30.61,26.96,26.96,1.76,4.94,6.68,F
1,7,5,12,29.19,28.11,1,0,30.6,45.46,40.39,6.12,4.41,7.11,P
0,4,4,8,31.85,30.52,0,0,30.57,20.21,29.43,3.01,4.57,9.19,F
1,5,6,11,28.07,27.14,0,0,30.55,32.89,40.39,4.06,4.11,10.03,F
1,4,4,8,29.48,27.14,1,0,30.54,20.91,27.77,0,4.45,5.01,F
1,6,3,9,30.94,27.14,0,0,30.53,45.46,44.42,5.69,4.25,7.89,P
0,5,4,9,-2,30.54,0,0,30.52,26.16,38.44,5.95,4.67,7.98,P
0,7,8,15,33.16,30.55,1,0,30.48,23.84,24.6,1.44,4.69,7.77,F
1,4,6,10,32.1,27.15,1,0,30.47,38.44,46.51,6.03,4.25,7.89,P
1,6,5,11,32.64,28.18,1,0,30.34,41.38,39.41,4.83,4.12,10.56,F
1,4,6,10,29.16,28.23,0,0,30.16,32.89,36.54,3.29,4.03,11.74,P
1,8,6,14,28.23,28.24,0,0,30.15,37.49,43.4,5.47,4.12,10.59,F
1,5,5,10,27.24,28.77,0,0,30.13,46.51,29.43,6.03,4.14,9.57,F
1,7,7,14,34.75,28.24,2,0,30.12,39.41,39.41,4.2,4.72,3.45,F
1,7,8,15,27.27,27.36,0,0,30.01,28.6,33.79,1.93,4.32,6.89,F
1,7,8,15,27.91,27.27,2,0,29.97,41.38,37.49,4.38,4.16,9.3,F
1,7,8,15,28.07,27.28,0,0,29.94,46.51,47.58,6.37,4.22,8.36,F
1,7,8,15,28.92,27.28,0,0,29.93,40.39,42.38,4.7,4.11,10.04,F
0,5,4,9,35.49,32.35,0,0,29.92,32.01,32.89,3.72,4.62,10.71,F
1,8,7,15,28.87,28.29,1,0,29.9,49.74,51.95,8.18,3.75,15,P
1,6,4,10,28.01,27.3,0,0,29.85,28.6,26.16,0.26,4.41,5.51,F
0,5,8,13,32.34,30.75,1,0,29.83,28.6,13.84,2.74,4.69,7.79,F
1,4,6,10,27.31,27.63,0,0,29.82,40.39,29.43,4.06,4.01,11.46,P
0,3,8,11,31.47,30.76,0,0,29.8,32.01,32.01,3.85,4.72,7.38,F
1,4,5,9,27.33,27.69,0,1,29.74,38.44,41.38,4.38,4.35,6.37,F
0,7,6,13,32.06,30.79,0,0,29.71,33.79,33.79,4.43,4.57,9.18,F
1,5,3,8,28.66,28.35,0,1,29.68,32.01,31.14,1.85,4.48,6.34,F
1,8,6,14,29.11,28.98,0,0,29.61,38.44,44.42,6.23,4.01,10.83,P
1,7,2,9,29.19,28.37,1,0,29.61,33.79,34.69,2.71,4.57,5.17,F
1,7,8,15,30.31,27.36,3,0,29.6,39.41,37.49,3.74,4.65,1.9,F
1,6,5,11,30.13,28.38,1,0,29.58,37.49,36.54,3.59,4.57,5.17,F
1,7,8,15,28.3,27.39,1,0,29.48,46.51,40.39,6.03,4.27,7.65,F
1,8,6,14,31.21,28.4,2,0,29.48,37.49,39.41,4.2,3.98,12.3,F
0,7,7,14,32.56,30.89,1,0,29.39,31.14,32.89,4.14,4.44,10.81,F
0,4,5,9,36.82,30.89,1,0,29.39,18.84,18.17,0,4.53,9.75,F
1,5,5,10,36.71,36.23,0,0,29.31,22.35,20.91,1.88,4.97,8.35,F
1,4,5,9,29.78,27.44,0,0,29.28,34.69,26.16,2.23,4.19,8.84,F
1,3,4,7,30.64,27.45,1,1,29.25,30.28,30.28,0.81,4.4,5.74,F
1,5,5,10,31.3,30.06,1,1,29.24,29.43,32.01,0,4.52,3.68,F
1,5,5,10,28.47,32.42,0,1,29.23,34.69,36.54,3.29,4.13,10.55,F
1,8,3,11,29.44,29.03,0,0,29.22,50.84,45.44,9.44,4.08,10,F
1,4,7,11,29,28.49,1,0,29.15,28.6,30.28,1.31,4.27,8.82,F
0,7,7,14,32.41,30.97,0,0,29.12,23.84,17.52,1.19,4.9,5.17,F
1,7,5,12,29.47,28.5,1,0,29.09,33.79,36.54,3.29,4.48,6.33,F
1,7,8,15,27.49,28.04,0,1,29.07,58.87,58.87,10,3.88,13.36,F
1,4,5,9,28.64,27.49,0,0,29.06,40.39,42.38,4.7,4.03,11.24,F
0,5,4,9,33.96,32.62,0,0,29.05,32.01,36.54,4.92,4.81,8.31,F
1,7,5,12,28.79,27.51,0,0,29,47.58,48.65,6.71,3.88,13.39,P
1,5,3,8,28.55,28.71,0,1,28.92,36.54,37.49,3.59,4.46,6.53,F
0,8,7,15,32.67,35.18,2,4,28.9,26.16,24.6,1.5,5.2,3.46,F
1,3,4,7,28.56,29.15,0,1,28.86,39.41,39.41,4.2,4.69,3.82,F
1,6,3,9,28.97,28.57,2,1,28.84,34.69,35.61,3,4.12,10.56,F
1,6,4,10,28.61,29.87,0,1,28.67,35.61,33.79,3,4.57,5.22,F
1,5,3,8,32.7,28.65,0,0,28.54,35.61,35.61,3,4.06,11.34,F
1,6,3,9,29.58,28.65,2,1,28.53,32.89,33.79,2.42,4.3,8.45,F
0,6,4,10,31.17,34.02,1,0,28.49,34.69,35.61,5.03,4.28,12.81,P
1,7,7,14,30.99,27.63,0,0,28.49,30.28,39.41,3.74,4.6,2.65,F
1,6,2,8,28.66,32.34,1,4,28.48,33.79,34.69,2.71,4.43,6.93,F
0,7,3,10,32.05,31.19,1,0,28.42,22.35,26.96,2.21,4.61,8.77,F
1,6,4,10,31.13,28.73,0,0,28.23,30.28,33.79,2.42,4.58,5.11,F
1,8,7,15,31.25,28.74,0,0,28.17,37.49,41.38,4.83,4.35,7.89,F
0,4,4,8,36.7,31.28,2,1,28.14,23.84,15.02,1.19,4.72,7.39,F
1,7,6,13,27.95,27.71,0,0,28.13,38.44,46.51,6.03,3.93,12.68,F
1,4,4,8,29.37,27.73,1,0,28.07,21.62,27.77,0,4.35,6.47,F
0,7,5,12,32.62,31.31,0,0,28.05,31.14,32.01,3.85,4.57,9.2,F
1,7,7,14,33.01,27.73,0,0,28.05,27.77,38.44,3.43,4.38,5.97,F
1,5,4,9,29.02,27.75,2,0,27.99,39.41,43.4,5.02,4.09,10.25,F
1,5,5,10,29.88,28.8,1,1,27.93,37.49,36.54,3.59,4.09,10.98,F
1,5,4,9,29.2,31.01,0,0,27.9,34.69,35.61,1.81,4.16,8.93,F
0,5,6,11,35.91,32.99,0,0,27.86,32.01,32.01,3.42,4.97,6.28,F
1,7,7,14,30.06,27.78,0,0,27.85,40.39,48.65,6.71,4.09,10.28,F
1,6,8,14,36.09,27.8,0,0,27.79,32.89,24.6,1.65,4.14,9.57,F
1,4,5,9,32.98,27.8,1,0,27.78,43.4,41.38,5.02,4.09,10.28,F
1,3,4,7,28.82,27.81,0,0,27.73,47.58,41.38,6.37,3.93,12.65,F
1,5,5,10,29.4,27.81,0,0,27.71,37.49,42.38,4.7,4.31,6.96,F
1,6,4,10,28.18,27.81,0,0,27.71,37.49,32.89,3.12,3.77,15,F
1,5,5,10,29.49,27.82,0,0,27.68,43.4,35.61,5.02,4.06,10.76,F
1,6,7,13,28.87,30.07,0,0,27.68,32.01,34.69,2.7,4.4,7.31,F
1,6,2,8,34.56,28.87,0,0,27.67,34.69,30.28,2.71,4.16,10.18,F
1,1,7,8,29.36,28.89,0,1,27.58,37.49,38.44,3.89,4.2,9.6,F
0,5,6,11,32.09,31.47,0,1,27.52,27.77,35.61,5.03,4.2,13.79,F
1,3,7,10,27.87,35.34,0,0,27.46,36.54,32.01,2.82,4.21,8.53,F
1,7,8,15,27.88,28.18,0,0,27.45,37.49,31.14,3.12,4.54,3.59,F
0,6,8,14,32.51,31.5,0,0,27.43,24.6,23.09,1.44,4.91,4.96,F
0,5,5,10,32.55,31.52,1,0,27.38,23.84,35.61,5.03,4.55,9.53,F
0,4,5,9,40.99,31.52,2,0,27.37,36.54,33.79,5.33,4.77,6.8,F
1,7,7,14,30.58,28.95,1,0,27.37,31.14,31.14,1.58,4.57,5.19,F
1,6,6,12,33.17,27.9,2,0,27.34,31.14,38.44,3.43,4.2,8.6,F
1,5,5,10,31.6,27.91,0,0,27.32,50.84,48.65,7.42,3.9,13.07,F
1,6,4,10,29.96,27.92,0,0,27.26,41.38,36.54,4.38,4.22,8.36,F
1,6,4,10,29.16,27.94,1,0,27.19,35.61,36.54,2.82,4.17,9.08,F
1,4,5,9,31.48,27.94,1,0,27.19,26.96,34.69,2.23,4.06,10.76,F
1,7,5,12,35.9,27.94,1,0,27.18,32.89,40.39,4.06,3.92,12.9,F
1,6,4,10,31.13,27.94,0,0,27.18,38.44,21.62,3.43,4.08,10.52,F
0,7,8,15,31.85,31.63,0,0,27.02,34.69,32.89,4.73,4.85,5.79,F
1,7,4,11,32.11,27.99,0,0,26.98,34.69,28.6,2.23,4.53,3.82,F
1,5,4,9,29.08,30.72,0,1,26.87,33.79,31.14,2.42,4.51,5.95,F
1,7,6,13,30.04,29.08,0,0,26.86,37.49,42.38,5.14,4.11,10.74,F
0,7,7,14,37.72,31.68,2,1,26.85,26.16,27.77,2.47,4.83,5.99,F
1,5,5,10,31.51,28.02,0,0,26.84,30.28,33.79,1.93,4.57,3.11,F
1,7,3,10,28.02,28.16,0,0,26.83,23.84,42.38,4.7,4.16,9.32,F
1,2,6,8,29.38,29.09,0,0,26.82,45.46,45.46,6.12,4.06,11.31,F
1,3,3,6,28.03,28.06,0,0,26.78,39.41,37.49,3.74,3.89,13.33,F
1,7,3,10,29.34,28.03,0,0,26.78,27.77,16.24,0,4.38,6,F
1,7,5,12,28.84,28.07,0,0,26.64,44.42,32.01,5.35,3.93,12.66,F
1,6,7,13,28.56,28.07,0,0,26.63,36.54,41.38,4.38,4.01,11.47,F
1,4,4,8,28.84,28.07,1,1,26.62,23.09,23.84,0,4.61,2.63,F
1,4,8,12,28.08,28.31,0,0,26.58,33.79,39.41,3.74,4.38,5.98,F
1,3,4,7,31.56,28.09,0,1,26.56,38.44,25.38,3.43,3.88,13.38,F
1,7,8,15,31.37,28.09,0,1,26.55,36.54,39.41,3.74,4.49,4.36,F
